date,value,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-03-14,4269,OR,30.0,337.0,157.0,,,,,,,,2020-03-14T20:00:00Z,,,524.0,367.0,367.0,41,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-21,30054,OR,114.0,2003.0,433.0,,,,,,,,2020-03-21T20:00:00Z,3.0,,2550.0,2117.0,2117.0,41,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-07,12227,PA,2.0,,,,,,,,,,2020-03-07T21:00:00Z,,,2.0,2.0,2.0,42,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-14,15439,PA,47.0,205.0,150.0,,,,,,,,2020-03-14T20:00:00Z,,,402.0,252.0,252.0,42,0.0,0.0,65.0,14.0,79.0,,,,,,,,
2020-03-21,377451,PA,371.0,3766.0,,,,,,,,,2020-03-21T20:00:00Z,2.0,,4137.0,4137.0,4137.0,42,1.0,0.0,1192.0,103.0,1295.0,,,,,,,,
2020-03-07,700,RI,2.0,,,,,,,,,,2020-03-07T21:00:00Z,,,2.0,2.0,2.0,44,,,,,,,,,,,,,
2020-03-14,1108,RI,20.0,198.0,57.0,,,,,,,,2020-03-14T20:00:00Z,,,275.0,218.0,218.0,44,0.0,0.0,56.0,6.0,62.0,,,,,,,,
2020-03-21,35847,RI,66.0,862.0,290.0,,,,,,,,2020-03-21T20:00:00Z,,,1218.0,928.0,928.0,44,0.0,0.0,208.0,12.0,220.0,,,,,,,,
2020-03-07,1889,SC,2.0,8.0,,,,,,,,,2020-03-07T21:00:00Z,,,10.0,10.0,10.0,45,0.0,0.0,3.0,2.0,5.0,,,,,,,,
2020-03-14,2093,SC,13.0,110.0,,,,,,,,,2020-03-14T20:00:00Z,,,123.0,123.0,123.0,45,0.0,0.0,35.0,1.0,36.0,,,,,,,,
2020-03-21,31826,SC,152.0,1255.0,,,,,,,,,2020-03-21T20:00:00Z,1.0,,1407.0,1407.0,1407.0,45,0.0,0.0,422.0,71.0,493.0,,,,,,,,
2020-03-07,185,SD,0.0,5.0,0.0,,,,,,,,2020-03-07T21:00:00Z,,,5.0,5.0,5.0,46,,,,,,,,,,,,,
