date,value,state
1995-02-04,6609,VA
1995-02-11,7511,VA
1995-02-18,5681,VA
1995-02-25,4920,VA
1995-03-04,6181,VA
1995-03-11,5701,VA
1995-03-18,4897,VA
1995-03-25,4803,VA
1995-04-01,5008,VA
1995-04-08,6440,VA
1995-04-15,5472,VA
1995-04-22,4157,VA
1995-04-29,4832,VA
1995-05-06,5398,VA
1995-05-13,4850,VA
1995-05-20,6437,VA
1995-05-27,6136,VA
1995-06-03,4809,VA
1995-06-10,5982,VA
1995-06-17,6688,VA
1995-06-24,5849,VA
1995-07-01,11418,VA
1995-07-08,8148,VA
1995-07-15,8722,VA
1995-07-22,5697,VA
1995-07-29,4711,VA
1995-08-05,5631,VA
1995-08-12,5566,VA
1995-08-19,5605,VA
1995-08-26,4420,VA
1995-09-02,5498,VA
1995-09-09,4509,VA
1995-09-16,5898,VA
1995-09-23,4731,VA
1995-09-30,4265,VA
1995-10-07,6172,VA
1995-10-14,5852,VA
1995-10-21,5228,VA
1995-10-28,4707,VA
1995-11-04,7507,VA
1995-11-11,5005,VA
1995-11-18,9038,VA
1995-11-25,10856,VA
1995-12-02,7810,VA
1995-12-09,7238,VA
1995-12-16,11011,VA
1995-12-23,17886,VA
1995-12-30,12875,VA
1996-01-06,13702,VA
1996-01-13,9992,VA
1996-01-20,18064,VA
1996-01-27,16167,VA
1996-02-03,6659,VA
1996-02-10,8443,VA
1996-02-17,7074,VA
1996-02-24,5742,VA
1996-03-02,5516,VA
1996-03-09,5463,VA
1996-03-16,5685,VA
1996-03-23,5683,VA
1996-03-30,4745,VA
1996-04-06,5978,VA
1996-04-13,6331,VA
1996-04-20,5322,VA
1996-04-27,4165,VA
1996-05-04,4789,VA
1996-05-11,4853,VA
1996-05-18,4284,VA
1996-05-25,4608,VA
1996-06-01,4143,VA
1996-06-08,5391,VA
1996-06-15,6669,VA
1996-06-22,6353,VA
1996-06-29,7683,VA
1996-07-06,6453,VA
1996-07-13,8977,VA
1996-07-20,5580,VA
1996-07-27,4928,VA
1996-08-03,4458,VA
1996-08-10,5220,VA
1996-08-17,4125,VA
1996-08-24,3496,VA
1996-08-31,3974,VA
1996-09-07,3672,VA
1996-09-14,4537,VA
1996-09-21,4166,VA
1996-09-28,3493,VA
1996-10-05,4181,VA
1996-10-12,5212,VA
1996-10-19,4310,VA
1996-10-26,5125,VA
1996-11-02,4640,VA
1996-11-09,4819,VA
1996-11-16,5259,VA
1996-11-23,6536,VA
1996-11-30,3858,VA
1996-12-07,6762,VA
1996-12-14,8686,VA
1996-12-21,15347,VA
1996-12-28,9796,VA
1997-01-04,9836,VA
1997-01-11,13000,VA
1997-01-18,8442,VA
1997-01-25,5519,VA
1997-02-01,5401,VA
1997-02-08,4710,VA
1997-02-15,5116,VA
1997-02-22,5010,VA
1997-03-01,4857,VA
1997-03-08,5091,VA
1997-03-15,4308,VA
1997-03-22,4459,VA
1997-03-29,4702,VA
1997-04-05,3606,VA
1997-04-12,4962,VA
1997-04-19,3905,VA
1997-04-26,4031,VA
1997-05-03,4226,VA
1997-05-10,4368,VA
1997-05-17,4005,VA
1997-05-24,4483,VA
1997-05-31,3215,VA
1997-06-07,4531,VA
1997-06-14,4529,VA
1997-06-21,5131,VA
1997-06-28,7757,VA
1997-07-05,7475,VA
1997-07-12,6641,VA
1997-07-19,4982,VA
1997-07-26,5030,VA
1997-08-02,4529,VA
1997-08-09,5373,VA
1997-08-16,4436,VA
1997-08-23,3987,VA
1997-08-30,4464,VA
1997-09-06,3296,VA
1997-09-13,3869,VA
1997-09-20,4614,VA
1997-09-27,3213,VA
1997-10-04,3247,VA
1997-10-11,4868,VA
1997-10-18,3949,VA
1997-10-25,4157,VA
1997-11-01,4362,VA
1997-11-08,4699,VA
1997-11-15,4870,VA
1997-11-22,5340,VA
1997-11-29,3661,VA
1997-12-06,7032,VA
1997-12-13,8970,VA
1997-12-20,12802,VA
1997-12-27,10465,VA
1998-01-03,7762,VA
1998-01-10,16793,VA
1998-01-17,11185,VA
1998-01-24,6572,VA
1998-01-31,6255,VA
1998-02-07,6491,VA
1998-02-14,5634,VA
1998-02-21,5223,VA
1998-02-28,4535,VA
1998-03-07,4708,VA
1998-03-14,4524,VA
1998-03-21,4579,VA
1998-03-28,3694,VA
